Day,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
2022-01-17,United Kingdom,2022-01-18 04:21:04,52.3555,-1.1743,12979908,132264,,,"England, United Kingdom",23187.84790950601,1.0189902732746643
2022-01-17,United Kingdom,2022-01-18 04:21:04,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-17,United Kingdom,2022-01-18 04:21:04,36.1408,-5.3536,10935,100,,,"Gibraltar, United Kingdom",32456.73918850732,0.9144947416552356
2022-01-17,United Kingdom,2022-01-18 04:21:04,54.2361,-4.5481,19956,70,,,"Isle of Man, United Kingdom",23468.81174146204,0.35077169773501704
2022-01-17,United Kingdom,2022-01-18 04:21:04,16.742498,-62.187366,139,1,,,"Montserrat, United Kingdom",2780.5561112222445,0.7194244604316546
2022-01-17,United Kingdom,2022-01-18 04:21:04,54.7877,-6.4923,483627,3042,,,"Northern Ireland, United Kingdom",25702.965561224493,0.6289971403581686
2022-01-17,United Kingdom,2022-01-18 04:21:04,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-17,United Kingdom,2022-01-18 04:21:04,56.4907,-4.2026,1097158,10062,,,"Scotland, United Kingdom",20082.331191770543,0.9170967171546852
2022-01-17,United Kingdom,2022-01-18 04:21:04,21.69400000000001,-71.7979,5110,30,,,"Turks and Caicos Islands, United Kingdom",13197.99576424402,0.5870841487279843
2022-01-17,United Kingdom,2022-01-18 04:21:04,,,0,0,,,"Unknown, United Kingdom",,
2022-01-17,United Kingdom,2022-01-18 04:21:04,52.1307,-3.7837,744717,6707,,,"Wales, United Kingdom",23727.681131714777,0.9006105675041659
2022-01-17,United Kingdom,2022-01-18 04:21:04,49.2138,-2.1358,26164,92,0.0,0.0,"Jersey, United Kingdom",0.0,0.0
2022-01-17,United Kingdom,2022-01-18 04:21:04,49.448196,-2.58949,10415,30,0.0,0.0,"Guernsey, United Kingdom",0.0,0.0
2022-01-18,United Kingdom,2022-01-19 04:21:23,18.2206,-63.0686,2109,7,,,"Anguilla, United Kingdom",14058.125583255563,0.3319108582266477
2022-01-18,United Kingdom,2022-01-19 04:21:23,32.3078,-64.7505,9144,110,,,"Bermuda, United Kingdom",14683.73131212564,1.2029746281714786
2022-01-18,United Kingdom,2022-01-19 04:21:23,18.4207,-64.64,5449,47,,,"British Virgin Islands, United Kingdom",18020.967688593446,0.8625435859790788
2022-01-18,United Kingdom,2022-01-19 04:21:23,19.3133,-81.2546,12023,15,,,"Cayman Islands, United Kingdom",18294.27875836884,0.12476087498960325
2022-01-18,United Kingdom,2022-01-19 04:21:23,49.3723,-2.3644,0,0,,,"Channel Islands, United Kingdom",21844.1163877794,0.3329395338846526
2022-01-18,United Kingdom,2022-01-19 04:21:23,52.3555,-1.1743,13064494,132664,,,"England, United Kingdom",23338.955860600392,1.0154545595106859
2022-01-18,United Kingdom,2022-01-19 04:21:23,-51.7963,-59.5236,85,0,,,"Falkland Islands (Malvinas), United Kingdom",2440.424921045076,0.0
2022-01-18,United Kingdom,2022-01-19 04:21:23,36.1408,-5.3536,11064,100,,,"Gibraltar, United Kingdom",32839.63076192455,0.9038322487346347
2022-01-18,United Kingdom,2022-01-19 04:21:23,54.2361,-4.5481,20087,70,,,"Isle of Man, United Kingdom",23622.8713895945,0.3484840941902723
2022-01-18,United Kingdom,2022-01-19 04:21:23,16.742498,-62.187366,146,1,,,"Montserrat, United Kingdom",2920.584116823365,0.6849315068493149
2022-01-18,United Kingdom,2022-01-19 04:21:23,54.7877,-6.4923,487708,3048,,,"Northern Ireland, United Kingdom",25919.85544217687,0.6249641178738098
2022-01-18,United Kingdom,2022-01-19 04:21:23,-7.9467,-14.3559,4,0,,,"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",70.65889418830595,0.0
2022-01-18,United Kingdom,2022-01-19 04:21:23,56.4907,-4.2026,1100526,10093,,,"Scotland, United Kingdom",20143.97891384328,0.9171069106954309
2022-01-18,United Kingdom,2022-01-19 04:21:23,21.69400000000001,-71.7979,5195,30,,,"Turks and Caicos Islands, United Kingdom",13417.531897308745,0.5774783445620789
2022-01-18,United Kingdom,2022-01-19 04:21:23,,,0,0,,,"Unknown, United Kingdom",,
